date,usage_time,times_opened,message_time,reels_time,reels_count
28-10-2023,33.5,17,0.0,1.9,10
29-10-2023,11.5,19,0.0,7.0,20
31-10-2023,0.4,2,0.0,0.0,0
02-11-2023,0.7,13,0.0,0.0,0
03-11-2023,3.1,9,0.0,0.0,0
12-11-2023,24.8,7,0.0,10.0,30
13-11-2023,17.4,20,0.0,0.0,0
14-11-2023,51.7,34,2.4,4.3,20
15-11-2023,115.9,39,0.9,9.7,33
16-11-2023,0.9,1,0.0,0.5,5
18-11-2023,30.0,5,4.0,21.0,40
19-11-2023,20.0,2,3.0,15.0,37
24-11-2023,15.8,6,0.0,1.0,0
26-11-2023,0.2,1,0.0,0.0,0
06-12-2023,54.9,18,0.0,0.0,0
08-12-2023,4.7,7,0.0,0.0,0
28-12-2023,0.8,3,0.0,0.0,0
05-01-2024,109.8,13,15.0,50.0,40
09-01-2024,91.5,18,1.6,5.2,0
10-01-2024,13.2,3,0.0,2.8,0
25-02-2024,18.200000000000003,6,0.0,5.3,0
10-08-2024,0.7,1,0.0,0.0,0
